country;region;year;population_total_people;population_rural_people;political_stability;basic_drinking_water_pct;safely_managed_drinking_water_pct;wash_mortality_rate_per_100k;wash_deaths;rural_share_pct;basic_minus_safe_gap_pct;risk_low_basic;risk_low_safe;risk_high_gap;risk_high_mortality;risk_low_stability;risk_high_rurality;score_creation_services;score_modernisation_services;score_gouvernance;action_prioritaire;wash_score_inverse;water_access_score;gov_effectiveness_score
Afghanistan;Eastern Mediterranean;2016;35383032.0;25985093.0;-2.67;64.28648;;13.92067;4824.353;73.43941864563783;;0.4392548779407859;;;0.1377160907134377;0.8787878787878788;0.6759164954688633;43.486866639237206;13.771609071343772;75.25743546432811;Renforcer la gouvernance politique;0.8622839092865623;0.6428648;0.7525743546432812
Albania;Europe;2016;2886438.0;1216737.0;0.34;91.02037;69.98433;0.16641;4.86975;42.15358168095071;21.03604;0.1104441558185986;0.3143949229521815;0.3188243473062986;0.0015849662771553;0.3087121212121212;0.3879701354762981;16.648715233054766;25.33832301411173;95.43093668614223;Moderniser les services d'eau;0.9984150337228447;0.9102037;0.9543093668614223
Algeria;Africa;2016;40551392.0;11589537.0;-1.1;93.51585;;1.86723;758.21;28.579874644007287;;0.0797512569983568;;;0.0184186264714309;0.581439393939394;0.2630414165385589;11.9405147228686;1.8418626471430968;95.83699367642845;Renforcer la gouvernance politique;0.981581373528569;0.9351585;0.9583699367642845
American Samoa;Western Pacific;2016;55741.0;7118.0;1.19;;;;;12.769774492743224;;;;;;0.1477272727272728;0.1175295417943149;11.752954179431493;;;Renforcer la gouvernance politique;;;
Andorra;Europe;2016;77297.0;9082.0;1.41;100.0;90.64;;;11.749485749770368;9.36;1.2299396845438793e-07;0.0980400063977389;0.141861105549664;;0.1060606060606061;0.1081390808642772;4.325570614209195;11.721173727670614;;Moderniser les services d'eau;;1.0;
Angola;Africa;2016;28842489.0;10329860.0;-0.32;55.08428;;48.81467;14065.2;35.81473152334391;;0.5524363875195559;;;0.4830752344317939;0.4337121212121212;0.3296290774607696;46.82539062299795;48.3075234431794;53.3883782784103;Moderniser les services d'eau;0.5169247655682061;0.5508428;0.533883782784103
Anguilla;Americas;2016;14429.0;0.0;;;;;;0.0;;;;;;;0.0;0.0;;;Créer ou étendre les services d'eau;;;
Antigua and Barbuda;Americas;2016;94527.0;75878.0;0.88;96.73919;;0.11403;0.11513;80.27124525267912;;0.0401061191959147;;;0.0010665415637957;0.2064393939393939;0.7387947750500781;23.995282154413403;0.1066541563795783;98.31626792181021;Créer ou étendre les services d'eau;0.9989334584362042;0.9673919;0.9831626792181021
Argentina;Americas;2016;43508460.0;3671449.0;0.2;99.07838;;0.36294;159.1411;8.438471506461042;;0.0113354931074181;;;0.0035300981770512;0.3352272727272727;0.0776654035795502;2.928311751646602;0.3530098177051244;99.36268509114744;Renforcer la gouvernance politique;0.9964699018229488;0.9907838;0.9936268509114744
Armenia;Europe;2016;2936143.0;1079792.0;-0.66;99.89854;83.00597;0.17688;5.17336;36.77586548066631;16.892569999999992;0.0012480197971092;0.1780015822567698;0.2560254974118683;0.001688591835553;0.4981060606060606;0.3384750937840219;10.2526285002794;17.004735447681096;99.86484040822235;Renforcer la gouvernance politique;0.998311408164447;0.9989854;0.9986484040822234
Aruba;Americas;2016;104872.0;59547.0;;;;;;56.78064688382028;;;;;;;0.5225936773458716;52.25936773458716;;;Créer ou étendre les services d'eau;;;
Australia;Western Pacific;2016;24262712.0;3425805.0;1.05;99.96997;;0.09539;23.01346;14.119629330801931;;0.0003694738810008;;;0.000882054418759;0.1742424242424242;0.1299532396987716;3.937274876077165;0.0882054418759096;99.94088227906205;Renforcer la gouvernance politique;0.9991179455812409;0.9996997000000001;0.9994088227906205
Austria;Europe;2016;8747301.0;3667377.0;0.91;100.0;98.90781;0.12375;10.78108;41.92581231627904;1.0921900000000022;1.2299396845438793e-07;0.0114399908747379;0.0165533419733213;0.0011627440879243;0.2007575757575758;0.3858738080055306;11.60528837709261;1.1174214401879403;99.94186279560378;Créer ou étendre les services d'eau;0.9988372559120756;1.0;0.9994186279560378
Azerbaijan;Europe;2016;9736043.0;4374332.0;-0.8;90.71031;73.015;1.11988;108.9128;44.929259248341445;17.695310000000006;0.1142577068020583;0.2826505953678401;0.2681919059448746;0.0110218202566687;0.5246212121212122;0.413516719157128;17.822643887223187;22.3264299047568;94.80406398716656;Renforcer la gouvernance politique;0.9889781797433312;0.9071031;0.9480406398716656
Bahamas;Americas;2016;377930.0;67166.0;0.98;98.88696;;0.06853;0.26811;17.772074193633742;;0.0136898436500674;;;0.0006162108181321;0.1875;0.1635693518236621;5.538528789416203;0.0616210818132196;99.4126694590934;Renforcer la gouvernance politique;0.9993837891818678;0.9888696;0.994126694590934
Bahrain;Eastern Mediterranean;2016;1425792.0;155487.0;-0.79;100.0;98.98326;0.0396;0.56435;10.905307366011312;1.0167399999999986;1.2299396845438793e-07;0.0106497004385509;0.0154098141513424;0.0003298796429223;0.5227272727272727;0.1003694919265673;3.0193372835986603;1.0251776078902255;99.98350601785388;Renforcer la gouvernance politique;0.9996701203570776;1.0;0.9998350601785388
Bangladesh;South-East Asia;2016;157977153.0;105783530.0;-1.26;96.88253;55.49126;11.94467;19464.03;66.9612839522434;41.391270000000006;0.038343123653216;0.4662005506789847;0.6273302694769919;0.1181588697589047;0.6117424242424243;0.616293500354175;23.168217318992586;45.29876160742712;92.53332151205475;Moderniser les services d'eau;0.8818411302410952;0.9688253;0.9253332151205476
Barbados;Americas;2016;285796.0;196098.0;0.98;98.48444;;0.16462;0.46915;68.61467620260605;;0.0186405968651296;;;0.0015672499686995;0.1875;0.6315108742946327;19.8233343369873;0.1567249968699539;99.16385750156502;Créer ou étendre les services d'eau;0.9984327500313005;0.9848444000000001;0.9916385750156502
Belarus;Europe;2016;9445643.0;2117714.0;0.14;96.47418;94.49743;0.05165;4.89667;22.42000888663694;1.9767500000000096;0.0433655823518414;0.0576358972226502;0.0299598226918055;0.0004491430601805;0.346590909090909;0.2063476824096093;8.153110254625656;3.6511920304360665;98.21463284699098;Renforcer la gouvernance politique;0.9995508569398195;0.9647418000000001;0.9821463284699098
Belgium;Europe;2016;11354420.0;236371.0;0.44;100.0;99.52319;0.28179;32.00647;2.081753185103246;0.4768100000000004;1.2299396845438793e-07;0.0049942794284728;0.0072265805274717;0.0027269258691259;0.2897727272727273;0.0191598918299676;0.6429754363557592;0.5322114101253084;99.86365370654372;Renforcer la gouvernance politique;0.9972730741308741;1.0;0.9986365370654371
Belize;Americas;2016;368400.0;200009.0;0.06;97.58454;;0.96521;3.54188;54.291259500542886;;0.0297088240792671;;;0.0094909926427833;0.3617424242424242;0.4996820308895144;16.564632826322033;0.94909926427833;98.31772036786084;Renforcer la gouvernance politique;0.9905090073572167;0.9758454000000001;0.9831772036786084
Benin;Africa;2016;10872063.0;5846177.0;0.0;66.32024;;59.73005;6494.034;53.772471701092975;;0.414240856628391;;;0.5911088874999567;0.3731060606060606;0.4949072486572613;48.26577819549436;59.11088874999568;53.604675625002166;Moderniser les services d'eau;0.4088911125000433;0.6632024;0.5360467562500216
Bermuda;Americas;2016;63362.0;0.0;1.0;;;;;0.0;;;;;;0.1837121212121211;0.0;0.0;;;Renforcer la gouvernance politique;;;
Bhutan;South-East Asia;2016;736708.0;483225.0;1.12;97.20763;35.99732;3.94974;31.50916;65.5924735444708;61.21030999999999;0.0343445897413191;0.6703870893880806;0.92770964184163;0.0390300172659777;0.1609848484848486;0.6036953405260413;20.632117185790044;63.41785683224022;96.65231413670111;Moderniser les services d'eau;0.9609699827340223;0.9720762999999999;0.9665231413670111
Bolivia (Plurinational State of);Americas;2016;11031814.0;3403747.0;-0.25;92.1769;;5.57744;607.2645;30.85391940074407;;0.0962195343940333;;;0.0551399811059034;0.4204545454545455;0.2839711078522873;14.227511810947703;5.513998110590345;93.33145094470483;Renforcer la gouvernance politique;0.9448600188940965;0.9217690000000001;0.9333145094470483
Bonaire, Sint Eustatius and Saba;Americas;2016;25020.0;6307.0;;;;;;25.20783373301359;;;;;;;0.2320060663523838;23.20060663523838;;;Créer ou étendre les services d'eau;;;
Bosnia and Herzegovina;Europe;2016;3386266.0;1845681.0;-0.4;96.15126;88.83336;0.07872;2.76853;54.50490304069439;7.317899999999994;0.0473373035786326;0.1169634035300477;0.1109108316561843;0.0007170651104027;0.4488636363636363;0.5016483481017401;17.197555731850738;9.159573569026657;98.03977674447985;Renforcer la gouvernance politique;0.9992829348895972;0.9615125999999999;0.9803977674447986
Botswana;Africa;2016;2159927.0;721580.0;0.99;89.40444;;11.76669;264.7807;33.40761053498567;;0.1303191201503479;;;0.1163973342399332;0.1856060606060606;0.3074745885959903;17.9985314206437;11.639733423993324;88.88235328800333;Créer ou étendre les services d'eau;0.8836026657600667;0.8940444;0.8888235328800334
Brazil;Americas;2016;206163053.0;28983278.0;-0.38;97.84798;;1.047;2174.623;14.058424910888371;;0.0264686709763752;;;0.0103004992732849;0.4450757575757575;0.1293899308140051;5.330300600189164;1.0300499273284944;98.40896503633576;Renforcer la gouvernance politique;0.9896995007267151;0.9784798000000001;0.9840896503633576
British Virgin Islands;Americas;2016;29355.0;16264.0;;;;;;55.40453074433657;;;;;;;0.5099282775440824;50.992827754408246;;;Créer ou étendre les services d'eau;;;
Brunei Darussalam;Western Pacific;2016;419800.0;97378.0;1.15;99.90001;;0.0452;0.19128;23.196283944735587;;0.001229939683758;;;0.0003853049654655;0.1553030303030304;0.2134923075505259;6.469749136421529;0.038530496546557;99.93073975172673;Renforcer la gouvernance politique;0.9996146950345345;0.9990001;0.9993073975172673
Bulgaria;Europe;2016;7151953.0;1830702.0;0.08;99.14818;96.96734;0.12884;9.18815;25.59723197286112;2.1808400000000034;0.010476995208155;0.0317651715600606;0.0330530313490309;0.0012131217471645;0.3579545454545454;0.2355899821631759;7.569492292941367;2.610551252362104;99.51343391264177;Renforcer la gouvernance politique;0.9987868782528355;0.9914818;0.9951343391264178
Burkina Faso;Africa;2016;18646357.0;13400521.0;-0.87;48.26772;;49.64125;9256.325;71.86669760747367;;0.6362759640267242;;;0.4912562099867523;0.5378787878787878;0.6614415974907704;60.75707155559451;49.12562099867523;49.571049500662376;Créer ou étendre les services d'eau;0.5087437900132477;0.4826772;0.4957104950066238
Burundi;Africa;2016;10487995.0;9220356.0;-1.97;60.20415;;65.40117;6882.901;87.91342863912503;;0.48946507463274;;;0.6472381116394661;0.7462121212121212;0.8091313586935505;62.48082191026647;64.7238111639466;47.740169418026696;Renforcer la gouvernance politique;0.3527618883605339;0.6020415;0.47740169418026696
Cabo Verde;Africa;2016;531146.0;190010.0;0.89;86.48798;;4.13675;22.32021;35.7735914419011;;0.1661898190512738;;;0.0408809261175501;0.2045454545454545;0.3292504353066656;18.378078069446047;4.088092611755019;91.19994369412248;Créer ou étendre les services d'eau;0.9591190738824498;0.8648798;0.9119994369412249
Cambodia;Western Pacific;2016;15766292.0;12202907.0;0.21;76.94537;25.24514;6.47033;1019.877;77.39871239223528;51.70023;0.2835581663075244;0.7830092898143242;0.7835739086508448;0.0639772518640476;0.3333333333333333;0.7123567615151537;35.7302516258944;63.94004988170511;85.27382240679762;Moderniser les services d'eau;0.9360227481359524;0.7694537;0.8527382240679762
Cameroon;Africa;2016;23926551.0;10505784.0;-1.06;60.15572;;45.15287;10583.47;43.90847640347328;;0.4900607344215839;;;0.4468330119159495;0.5738636363636365;0.4041217106472259;45.3472096662868;44.68330119159495;57.73620940420252;Renforcer la gouvernance politique;0.5531669880840505;0.6015572;0.5773620940420252
Canada;Americas;2016;36382944.0;6786280.0;1.26;99.41262;98.8135;0.36794;133.5263;18.652366339568346;0.5991199999999992;0.0072245427084255;0.0124278277340722;0.0090803232432601;0.0035795850721791;0.1344696969696969;0.1716713220358708;5.564733709759751;0.9486552629909372;99.52733074639104;Renforcer la gouvernance politique;0.9964204149278209;0.9941262000000001;0.9952733074639104
Cayman Islands;Americas;2016;62569.0;0.0;;;;;;0.0;;;;;;;0.0;0.0;;;Créer ou étendre les services d'eau;;;
Central African Republic;Africa;2016;4537686.0;2728393.0;-1.79;46.33376;;82.11312;3772.784;60.12740855140704;;0.6600625055347287;;;0.8126426150458965;0.7121212121212122;0.5533963642304189;66.62076905212277;81.26426150458965;32.53474924770517;Moderniser les services d'eau;0.18735738495410348;0.46333759999999996;0.32534749247705175
Chad;Africa;2016;14561660.0;11175141.0;-1.3;38.85259;;101.04312;14603.3;76.74359242009497;;0.75207638417412;;;1.0;0.6193181818181819;0.7063272149331283;80.03325373582926;100.0;19.426295;Moderniser les services d'eau;0.0;0.3885259;0.19426295
Channel Islands;Europe;2016;166923.0;113648.0;;;;;;68.08408667469432;;;;;;;0.6266274721537598;62.66274721537598;;;Créer ou étendre les services d'eau;;;
Chile;Americas;2016;18209068.0;2252605.0;0.41;99.62218;98.46397;0.20277;36.31498;12.370786906831256;1.1582099999999969;0.0046470811071425;0.0160889306652904;0.017553947762679;0.0019448349785251;0.2954545454545454;0.1138573682425813;3.673460571561983;1.3772867512023423;99.71384825107374;Renforcer la gouvernance politique;0.9980551650214748;0.9962218;0.9971384825107374
China;Western Pacific;2016;1445523929.0;612549421.0;;92.30405;;0.57632;8134.223;42.3755988199902;;0.0946556660861351;;;0.005642000913528;;0.3900135210221137;16.1009606273777;0.5642000913528084;95.86992495432361;Créer ou étendre les services d'eau;0.9943579990864719;0.9230405;0.958699249543236
China, Hong Kong SAR;Western Pacific;2016;7243542.0;0.0;0.75;;;;;0.0;;;;;;0.2310606060606059;0.0;0.0;;;Renforcer la gouvernance politique;;;
China, Macao SAR;Western Pacific;2016;612836.0;0.0;1.42;;;;;0.0;;;;;;0.1041666666666666;0.0;0.0;;;Renforcer la gouvernance politique;;;
China, Taiwan Province of;Western Pacific;2016;23618200.0;5338547.0;0.93;;;;;22.60353032830614;;;;;;0.196969696969697;0.2080367639952763;20.80367639952763;;;Créer ou étendre les services d'eau;;;
China, mainland;Western Pacific;2016;1414049351.0;607210874.0;-0.5;;;;;42.941278787093765;;;;;;0.4678030303030303;0.3952198860502265;39.52198860502265;;;Renforcer la gouvernance politique;;;
Colombia;Americas;2016;48175052.0;9678238.0;-0.88;96.96181;72.99789;0.7531;366.4109;20.08973026121487;23.96392;0.0373680274719327;0.2828298116615864;0.363199592361507;0.0073916595776689;0.5397727272727273;0.1849004298168106;7.413365620183018;25.58716044897752;98.11132202111655;Renforcer la gouvernance politique;0.992608340422331;0.9696181;0.9811132202111655
Comoros;Africa;2016;795592.0;567911.0;0.04;80.14886;;50.73689;403.6642;71.38219087170309;;0.2441571715323081;;;0.5021001743423316;0.3655303030303031;0.6569823288730092;43.24904694370243;50.21001743423316;64.96942128288342;Moderniser les services d'eau;0.49789982565766844;0.8014886;0.6496942128288342
Congo;Africa;2016;4980996.0;1742734.0;-0.52;72.18665;44.76963;38.70865;1984.138;34.98766110231769;27.41702;0.3420875520264487;0.5785027594176801;0.415535124794578;0.3830521240517692;0.471590909090909;0.3220169455730779;34.63075130967676;48.23739602264122;66.94071879741153;Moderniser les services d'eau;0.6169478759482308;0.7218665;0.6694071879741154
Cook Islands;Western Pacific;2016;17524.0;4411.0;;99.8796;;;;25.17119379137183;;0.0014809703732129;;;;;0.2316688422647561;9.35561191298302;;;Créer ou étendre les services d'eau;;0.998796;
Costa Rica;Americas;2016;4899345.0;1081494.0;0.66;99.69976;93.7039;0.86387;41.96055;22.074256864948275;5.995859999999993;0.0036928939004832;0.0659476158419661;0.0908738598633555;0.0084879922523316;0.2481060606060605;0.2031654745556946;6.473344268500876;6.317987653152556;99.42548038738342;Renforcer la gouvernance politique;0.9915120077476683;0.9969975999999999;0.9942548038738341
Croatia;Europe;2016;4208602.0;1836858.0;0.66;99.58675;89.95949;0.11204;4.72051;43.64532450443164;9.627259999999993;0.005082848737098;0.1051679128885214;0.1459117251083395;0.0010468457795348;0.2481060606060605;0.4016997319244032;12.305891295389882;9.860403374366046;99.74103271102325;Renforcer la gouvernance politique;0.9989531542204652;0.9958674999999999;0.9974103271102326
Cuba;Americas;2016;11335104.0;2647509.0;0.69;95.32452;;1.02635;117.7832;23.356724384707896;;0.0575057069201325;;;0.0100961183964068;0.2424242424242424;0.2149689578551918;9.28922850697189;1.0096118396406857;97.15745408017966;Renforcer la gouvernance politique;0.9899038816035931;0.9532452;0.9715745408017966
Curaçao;Americas;2016;161052.0;17097.0;;;;;;10.615825944415468;;;;;;;0.0977051834176378;9.770518341763788;;;Créer ou étendre les services d'eau;;;
Cyprus;Europe;2016;1170187.0;387536.0;0.6;99.6132;99.6132;0.27908;3.26564;33.11744191313012;0.0;0.0047575296907439;0.0040514823156672;0.0;0.0027001039719666;0.259469696969697;0.3048039552822109;9.425710093848974;0.2363187836443577;99.67159480140167;Renforcer la gouvernance politique;0.9972998960280334;0.996132;0.9967159480140166
Czechia;Europe;2016;10618857.0;2804473.0;0.98;99.88017;97.881;0.17881;18.97327;26.41030950882943;1.9991700000000063;0.0014739597170154;0.0221951681150436;0.0302996224766797;0.0017076937770724;0.1875;0.2430733273310887;7.401220351625169;2.093423227402204;99.85470031114639;Renforcer la gouvernance politique;0.9982923062229275;0.9988017;0.9985470031114638
Côte d'Ivoire;Africa;2016;23822714.0;11876170.0;-0.91;72.76205;36.39219;47.15776;11174.47;49.85229642600755;36.36986;0.3350104790861056;0.6662510789899743;0.5512252722528317;0.4666761681505312;0.5454545454545454;0.4588270184154494;40.50718631510152;58.60770644640858;63.04721659247343;Moderniser les services d'eau;0.5333238318494687;0.7276205;0.6304721659247343
Democratic People's Republic of Korea;South-East Asia;2016;25307665.0;9774246.0;-0.68;94.8621;66.79067;1.35658;344.1445;38.62168240333512;28.071429999999992;0.063193194005766;0.3478464664171604;0.4254534288632484;0.0133645298720219;0.5018939393939394;0.3554634922307399;13.841711743982218;30.81125159642635;96.7628235063989;Renforcer la gouvernance politique;0.986635470127978;0.9486209999999999;0.967628235063989
Democratic Republic of the Congo;Africa;2016;78789127.0;44637912.0;-2.23;42.97677;;59.75592;47049.52;56.65491381824804;;0.7013514577245132;;;0.5913649326953483;0.7954545454545454;0.5214364643039735;61.98803284410601;59.13649326953483;41.92013836523258;Renforcer la gouvernance politique;0.4086350673046517;0.42976770000000003;0.41920138365232584
Denmark;Europe;2016;5711349.0;705862.0;0.87;100.0;96.73594;0.30561;17.45619;12.358936566474926;3.2640600000000006;1.2299396845438793e-07;0.0341889383848935;0.0494704230962004;0.0029626814375151;0.2083333333333333;0.1137483009232659;3.4865215983644364;3.32922066443753;99.85186592812425;Renforcer la gouvernance politique;0.9970373185624849;1.0;0.9985186592812425
Djibouti;Eastern Mediterranean;2016;929112.0;211764.0;-0.63;75.60252;;31.28645;294.826;22.7920853460078;;0.3000744113508674;;;0.3095917974481587;0.4924242424242424;0.2097721732498476;27.536308644488432;30.95917974481588;72.32167012759206;Renforcer la gouvernance politique;0.6904082025518412;0.7560252;0.7232167012759205
Dominica;Americas;2016;71307.0;22151.0;1.0;;;;;31.064271389905617;;;;;;0.1837121212121211;0.2859071305217345;28.590713052173456;;;Créer ou étendre les services d'eau;;;
Dominican Republic;Americas;2016;10397741.0;2189850.0;0.25;96.57637;;2.20544;234.8522;21.060824654124392;;0.0421087069890093;;;0.0217660190316701;0.3257575757575758;0.1938381192883469;8.254185868947584;2.1766019031670125;97.1998840484165;Renforcer la gouvernance politique;0.9782339809683299;0.9657637;0.971998840484165
Ecuador;Americas;2016;16491116.0;5974947.0;-0.09;93.68204;74.85141;0.64215;105.2175;36.23130781446204;18.83063;0.0777072202379195;0.2634153765485162;0.2853989305551998;0.0062935453747815;0.3901515151515151;0.3334631326858882;13.658057525652564;21.968525421610856;96.52634273126093;Renforcer la gouvernance politique;0.9937064546252184;0.9368204;0.9652634273126093
Egypt;Eastern Mediterranean;2016;94447073.0;54799311.0;-1.44;99.03286;;2.2022;1915.882;58.02118505038266;;0.0118953616514646;;;0.0217339515236272;0.6458333333333333;0.5340112542480551;17.098977689848244;2.173395152362726;98.42973242381863;Renforcer la gouvernance politique;0.9782660484763728;0.9903286;0.9842973242381864
El Salvador;Americas;2016;6356143.0;1871635.0;-0.1;97.06386;;2.00514;127.2203;29.446080744250093;;0.0361128740246577;;;0.0197835740128477;0.3920454545454546;0.2710137426057758;10.25008095960407;1.9783574012847789;97.5427512993576;Renforcer la gouvernance politique;0.9802164259871522;0.9706386;0.9754275129935761
Equatorial Guinea;Africa;2016;1215180.0;352550.0;-0.14;64.42552;;22.28946;272.2647;29.012162807156137;;0.4375447698044887;;;0.2205451773288656;0.3996212121212121;0.2670200795734358;33.213746461626705;22.054517732886566;71.18550113355673;Renforcer la gouvernance politique;0.7794548226711344;0.6442552;0.7118550113355673
Eritrea;Africa;2016;3376557.0;3030917.0;-0.66;51.84972;;45.56445;2257.556;89.76353723630314;;0.5922195245545159;;;0.450906575175295;0.4981060606060606;0.8261592565487266;62.70732068079739;45.0906575175295;53.37953124123524;Créer ou étendre les services d'eau;0.549093424824705;0.5184972;0.5337953124123525
Estonia;Europe;2016;1316510.0;412594.0;0.67;99.71165;93.64887;0.00627;0.08229;31.339982225733188;6.062780000000004;0.0035466540720843;0.0665240198539391;0.0918881061436317;0.0;0.2462121212121212;0.2884446982932686;8.81294038204185;6.209664608454372;99.85582500000001;Renforcer la gouvernance politique;1.0;0.9971165000000001;0.9985582500000001
Eswatini;Africa;2016;1113997.0;1028023.0;-0.49;68.9483;;27.89303;374.6307;92.2823849615394;;0.3819173037754229;;;0.2760058335151976;0.4659090909090908;0.8493420480040418;49.56668594789522;27.600583351519763;70.67385832424013;Créer ou étendre les services d'eau;0.7239941664848024;0.6894830000000001;0.7067385832424012
Ethiopia;Africa;2016;103603462.0;82059981.0;-1.62;40.04142;10.86826;43.66399;44713.33;79.205829048454;29.173160000000003;0.7374544922317009;0.9335979016924784;0.4421513600403031;0.4320970022323538;0.6799242424242424;0.7289889732033834;65.8575464023369;66.12914322221923;48.41585988838231;Moderniser les services d'eau;0.5679029977676462;0.4004142;0.48415859888382307
Falkland Islands (Malvinas);Americas;2016;2928.0;677.0;;;;;;23.12158469945355;;;;;;;0.2128047959523087;21.28047959523088;;;Créer ou étendre les services d'eau;;;
Faroe Islands;Europe;2016;48173.0;28598.0;;;;;;59.36520457517697;;;;;;;0.5463812455115228;54.63812455115228;;;Créer ou étendre les services d'eau;;;
Fiji;Western Pacific;2016;872399.0;402329.0;0.92;93.74462;;2.88769;25.95353;46.11754483900142;;0.0769375239838239;;;0.0285185058718675;0.1988636363636363;0.4244533775194521;16.908752551652327;2.851850587186754;95.44638470640663;Créer ou étendre les services d'eau;0.9714814941281325;0.9374462;0.9544638470640663
Finland;Europe;2016;5497713.0;810329.0;1.0;100.0;99.63187;0.03616;1.99014;14.739383449081464;0.3681299999999936;1.2299396845438793e-07;0.0038559260208546;0.0055794154685894;0.0002958326590743;0.1837121212121211;0.1356572885516254;4.0771200077542025;0.3747128655205745;99.98520836704627;Renforcer la gouvernance politique;0.9997041673409256;1.0;0.9998520836704627
France;Europe;2016;64667596.0;12998038.0;-0.1;100.0;97.78383;0.26542;171.7787;20.09976990639949;2.2161700000000053;1.2299396845438793e-07;0.0232129616429996;0.0335884963980768;0.0025649057744773;0.3920454545454546;0.1849928319887515;5.613913138753061;2.271478763357224;99.87175471127614;Renforcer la gouvernance politique;0.9974350942255227;1.0;0.9987175471127614
French Guyana;Americas;2016;267821.0;42001.0;;;;;;15.682489423906263;;;;;;;0.1443373802124162;14.433738021241624;;;Créer ou étendre les services d'eau;;;
