Country,Region,pays_fr,pays_en,code_iso3,region_oms,continent,sous_region_onu
albania,Europe,Albanie,Albania,ALB,Europe,Europe,Southern Europe
andorra,Europe,Andorre,Andorra,AND,Europe,Europe,Southern Europe
armenia,Europe,Arménie,Armenia,ARM,Europe,Asia,Western Asia
australia,Western Pacific,Australie,Australia,AUS,Western Pacific,Oceania,Australia and New Zealand
austria,Europe,Autriche,Austria,AUT,Europe,Europe,Western Europe
azerbaijan,Europe,Azerbaïdjan,Azerbaijan,AZE,Europe,Asia,Western Asia
bahrain,Eastern Mediterranean,Bahreïn,Bahrain,BHR,Eastern Mediterranean,Asia,Western Asia
belarus,Europe,Biélorussie,Belarus,BLR,Europe,Europe,Eastern Europe
belgium,Europe,Belgique,Belgium,BEL,Europe,Europe,Western Europe
bhutan,South-East Asia,Bhoutan,Bhutan,BTN,South-East Asia,Asia,Southern Asia
bosnia and herzegovina,Europe,Bosnie-Herzégovine,Bosnia and Herzegovina,BIH,Europe,Europe,Southern Europe
brazil,Americas,Brésil,Brazil,BRA,Americas,Americas,South America
bulgaria,Europe,Bulgarie,Bulgaria,BGR,Europe,Europe,Eastern Europe
cambodia,Western Pacific,Cambodge,Cambodia,KHM,Western Pacific,Asia,South-eastern Asia
chile,Americas,Chili,Chile,CHL,Americas,Americas,South America
china,Western Pacific,,,,,,
colombia,Americas,Colombie,Colombia,COL,Americas,Americas,South America
congo,Africa,Congo-Brazzaville,Congo,COG,Africa,Africa,Middle Africa
croatia,Europe,Croatie,Croatia,HRV,Europe,Europe,Southern Europe
cyprus,Europe,Chypre,Cyprus,CYP,Europe,Asia,Western Asia
czechia,Europe,Tchéquie,Czechia,CZE,Europe,Europe,Eastern Europe
cote divoire,Africa,Côte d’Ivoire,Côte d'Ivoire,CIV,Africa,Africa,Western Africa
democratic people's republic of korea,South-East Asia,Corée du Nord,Democratic People's Republic of Korea,PRK,South-East Asia,Asia,Eastern Asia
denmark,Europe,Danemark,Denmark,DNK,Europe,Europe,Northern Europe
ecuador,Americas,Équateur,Ecuador,ECU,Americas,Americas,South America
el salvador,Americas,Salvador,El Salvador,SLV,Americas,Americas,Central America
estonia,Europe,Estonie,Estonia,EST,Europe,Europe,Northern Europe
ethiopia,Africa,Éthiopie,Ethiopia,ETH,Africa,Africa,Eastern Africa
finland,Europe,Finlande,Finland,FIN,Europe,Europe,Northern Europe
gambia,Africa,Gambie,Gambia,GMB,Africa,Africa,Western Africa
georgia,Europe,Géorgie,Georgia,GEO,Europe,Asia,Western Asia
germany,Europe,Allemagne,Germany,DEU,Europe,Europe,Western Europe
greece,Europe,Grèce,Greece,GRC,Europe,Europe,Southern Europe
grenada,Americas,Grenade,Grenada,GRD,Americas,Americas,Caribbean
hungary,Europe,Hongrie,Hungary,HUN,Europe,Europe,Eastern Europe
iceland,Europe,Islande,Iceland,ISL,Europe,Europe,Northern Europe
india,South-East Asia,Inde,India,IND,South-East Asia,Asia,Southern Asia
iran (islamic republic of),Eastern Mediterranean,Iran,Iran (Islamic Republic of),IRN,Eastern Mediterranean,Asia,Southern Asia
iraq,Eastern Mediterranean,Irak,Iraq,IRQ,Eastern Mediterranean,Asia,Western Asia
ireland,Europe,Irlande,Ireland,IRL,Europe,Europe,Northern Europe
israel,Europe,Israël,Israel,ISR,Europe,Asia,Western Asia
italy,Europe,Italie,Italy,ITA,Europe,Europe,Southern Europe
japan,Western Pacific,Japon,Japan,JPN,Western Pacific,Asia,Eastern Asia
jordan,Eastern Mediterranean,Jordanie,Jordan,JOR,Eastern Mediterranean,Asia,Western Asia
kuwait,Eastern Mediterranean,Koweït,Kuwait,KWT,Eastern Mediterranean,Asia,Western Asia
kyrgyzstan,Europe,Kirghizstan,Kyrgyzstan,KGZ,Europe,Asia,Central Asia
lao people's democratic republic,Western Pacific,Laos,Lao People's Democratic Republic,LAO,Western Pacific,Asia,South-eastern Asia
latvia,Europe,Lettonie,Latvia,LVA,Europe,Europe,Northern Europe
lebanon,Eastern Mediterranean,Liban,Lebanon,LBN,Eastern Mediterranean,Asia,Western Asia
lithuania,Europe,Lituanie,Lithuania,LTU,Europe,Europe,Northern Europe
malaysia,Western Pacific,Malaisie,Malaysia,MYS,Western Pacific,Asia,South-eastern Asia
malta,Europe,Malte,Malta,MLT,Europe,Europe,Southern Europe
mexico,Americas,Mexique,Mexico,MEX,Americas,Americas,Central America
mongolia,Western Pacific,Mongolie,Mongolia,MNG,Western Pacific,Asia,Eastern Asia
montenegro,Europe,Monténégro,Montenegro,MNE,Europe,Europe,Southern Europe
morocco,Eastern Mediterranean,Maroc,Morocco,MAR,Eastern Mediterranean,Africa,Northern Africa
nepal,South-East Asia,Népal,Nepal,NPL,South-East Asia,Asia,Southern Asia
netherlands,Europe,Pays-Bas,Netherlands,NLD,Europe,Europe,Western Europe
new zealand,Western Pacific,Nouvelle-Zélande,New Zealand,NZL,Western Pacific,Oceania,Australia and New Zealand
republic of north macedonia,Europe,Macédoine du Nord,Republic of North Macedonia,MKD,Europe,Europe,Southern Europe
norway,Europe,Norvège,Norway,NOR,Europe,Europe,Northern Europe
peru,Americas,Pérou,Peru,PER,Americas,Americas,South America
poland,Europe,Pologne,Poland,POL,Europe,Europe,Eastern Europe
republic of korea,Western Pacific,Corée du Sud,Republic of Korea,KOR,Western Pacific,Asia,Eastern Asia
republic of moldova,Europe,Moldavie,Republic of Moldova,MDA,Europe,Europe,Eastern Europe
romania,Europe,Roumanie,Romania,ROU,Europe,Europe,Eastern Europe
russian federation,Europe,Russie,Russian Federation,RUS,Europe,Europe,Eastern Europe
san marino,Europe,Saint-Marin,San Marino,SMR,Europe,Europe,Southern Europe
serbia,Europe,Serbie,Serbia,SRB,Europe,Europe,Southern Europe
singapore,Western Pacific,Singapour,Singapore,SGP,Western Pacific,Asia,South-eastern Asia
slovakia,Europe,Slovaquie,Slovakia,SVK,Europe,Europe,Eastern Europe
slovenia,Europe,Slovénie,Slovenia,SVN,Europe,Europe,Southern Europe
south africa,Africa,Afrique du Sud,South Africa,ZAF,Africa,Africa,Southern Africa
spain,Europe,Espagne,Spain,ESP,Europe,Europe,Southern Europe
sweden,Europe,Suède,Sweden,SWE,Europe,Europe,Northern Europe
switzerland,Europe,Suisse,Switzerland,CHE,Europe,Europe,Western Europe
tajikistan,Europe,Tadjikistan,Tajikistan,TJK,Europe,Asia,Central Asia
tunisia,Eastern Mediterranean,Tunisie,Tunisia,TUN,Eastern Mediterranean,Africa,Northern Africa
turkmenistan,Europe,Turkménistan,Turkmenistan,TKM,Europe,Asia,Central Asia
uganda,Africa,Ouganda,Uganda,UGA,Africa,Africa,Eastern Africa
united kingdom of great britain and northern ireland,Europe,Royaume-Uni,United Kingdom of Great Britain and Northern Ireland,GBR,Europe,Europe,Northern Europe
united republic of tanzania,Africa,Tanzanie,United Republic of Tanzania,TZA,Africa,Africa,Eastern Africa
united states of america,Americas,États-Unis,United States of America,USA,Americas,Americas,Northern America
uzbekistan,Europe,Ouzbékistan,Uzbekistan,UZB,Europe,Asia,Central Asia
zambia,Africa,Zambie,Zambia,ZMB,Africa,Africa,Eastern Africa
algeria,Africa,Algérie,Algeria,DZA,Africa,Africa,Northern Africa
antigua and barbuda,Americas,Antigua-et-Barbuda,Antigua and Barbuda,ATG,Americas,Americas,Caribbean
argentina,Americas,Argentine,Argentina,ARG,Americas,Americas,South America
barbados,Americas,Barbade,Barbados,BRB,Americas,Americas,Caribbean
benin,Africa,Bénin,Benin,BEN,Africa,Africa,Western Africa
bolivia (plurinational state of),Americas,Bolivie,Bolivia (Plurinational State of),BOL,Americas,Americas,South America
brunei darussalam,Western Pacific,Brunei,Brunei Darussalam,BRN,Western Pacific,Asia,South-eastern Asia
cabo verde,Africa,Cap-Vert,Cabo Verde,CPV,Africa,Africa,Western Africa
cameroon,Africa,Cameroun,Cameroon,CMR,Africa,Africa,Middle Africa
central african republic,Africa,République centrafricaine,Central African Republic,CAF,Africa,Africa,Middle Africa
chad,Africa,Tchad,Chad,TCD,Africa,Africa,Middle Africa
comoros,Africa,Comores,Comoros,COM,Africa,Africa,Eastern Africa
cook islands,Western Pacific,Îles Cook,Cook Islands,COK,Western Pacific,Oceania,Polynesia
democratic republic of the congo,Africa,Congo-Kinshasa,Democratic Republic of the Congo,COD,Africa,Africa,Middle Africa
dominica,Americas,Dominique,Dominica,DMA,Americas,Americas,Caribbean
dominican republic,Americas,République dominicaine,Dominican Republic,DOM,Americas,Americas,Caribbean
egypt,Eastern Mediterranean,Égypte,Egypt,EGY,Eastern Mediterranean,Africa,Northern Africa
equatorial guinea,Africa,Guinée équatoriale,Equatorial Guinea,GNQ,Africa,Africa,Middle Africa
eritrea,Africa,Érythrée,Eritrea,ERI,Africa,Africa,Eastern Africa
fiji,Western Pacific,Fidji,Fiji,FJI,Western Pacific,Oceania,Melanesia
guinea,Africa,Guinée,Guinea,GIN,Africa,Africa,Western Africa
guinea-bissau,Africa,Guinée-Bissau,Guinea-Bissau,GNB,Africa,Africa,Western Africa
haiti,Americas,Haïti,Haiti,HTI,Americas,Americas,Caribbean
indonesia,South-East Asia,Indonésie,Indonesia,IDN,South-East Asia,Asia,South-eastern Asia
jamaica,Americas,Jamaïque,Jamaica,JAM,Americas,Americas,Caribbean
libya,Eastern Mediterranean,Libye,Libya,LBY,Eastern Mediterranean,Africa,Northern Africa
marshall islands,Western Pacific,Îles Marshall,Marshall Islands,MHL,Western Pacific,Oceania,Micronesia
mauritania,Africa,Mauritanie,Mauritania,MRT,Africa,Africa,Western Africa
mauritius,Africa,Maurice,Mauritius,MUS,Africa,Africa,Eastern Africa
micronesia (federated states of),Western Pacific,Micronésie,Micronesia (Federated States of),FSM,Western Pacific,Oceania,Micronesia
myanmar,South-East Asia,Myanmar (Birmanie),Myanmar,MMR,South-East Asia,Asia,South-eastern Asia
namibia,Africa,Namibie,Namibia,NAM,Africa,Africa,Southern Africa
palau,Western Pacific,Palaos,Palau,PLW,Western Pacific,Oceania,Micronesia
papua new guinea,Western Pacific,Papouasie-Nouvelle-Guinée,Papua New Guinea,PNG,Western Pacific,Oceania,Melanesia
saint kitts and nevis,Americas,Saint-Christophe-et-Niévès,Saint Kitts and Nevis,KNA,Americas,Americas,Caribbean
saint lucia,Americas,Sainte-Lucie,Saint Lucia,LCA,Americas,Americas,Caribbean
saint vincent and the grenadines,Americas,Saint-Vincent-et-les Grenadines,Saint Vincent and the Grenadines,VCT,Americas,Americas,Caribbean
sao tome and principe,Africa,Sao Tomé-et-Principe,Sao Tome and Principe,STP,Africa,Africa,Middle Africa
saudi arabia,Eastern Mediterranean,Arabie saoudite,Saudi Arabia,SAU,Eastern Mediterranean,Asia,Western Asia
senegal,Africa,Sénégal,Senegal,SEN,Africa,Africa,Western Africa
solomon islands,Western Pacific,Îles Salomon,Solomon Islands,SLB,Western Pacific,Oceania,Melanesia
somalia,Eastern Mediterranean,Somalie,Somalia,SOM,Eastern Mediterranean,Africa,Eastern Africa
south sudan,Africa,Soudan du Sud,South Sudan,SSD,Africa,Africa,Eastern Africa
sudan,Eastern Mediterranean,Soudan,Sudan,SDN,Eastern Mediterranean,Africa,Northern Africa
syrian arab republic,Eastern Mediterranean,Syrie,Syrian Arab Republic,SYR,Eastern Mediterranean,Asia,Western Asia
thailand,South-East Asia,Thaïlande,Thailand,THA,South-East Asia,Asia,South-eastern Asia
timor-leste,South-East Asia,Timor oriental,Timor-Leste,TLS,South-East Asia,Asia,South-eastern Asia
trinidad and tobago,Americas,Trinité-et-Tobago,Trinidad and Tobago,TTO,Americas,Americas,Caribbean
turkey,Europe,Turquie,Turkey,TUR,Europe,Asia,Western Asia
united arab emirates,Eastern Mediterranean,Émirats arabes unis,United Arab Emirates,ARE,Eastern Mediterranean,Asia,Western Asia
venezuela (bolivarian republic of),Americas,Venezuela,Venezuela (Bolivarian Republic of),VEN,Americas,Americas,South America
viet nam,Western Pacific,Viêt Nam,Viet Nam,VNM,Western Pacific,Asia,South-eastern Asia
yemen,Eastern Mediterranean,Yémen,Yemen,YEM,Eastern Mediterranean,Asia,Western Asia
American Samoa,Western Pacific,Samoa américaines,American Samoa,ASM,Western Pacific,Oceania,Polynesia
Bermuda,Americas,Bermudes,Bermuda,BMU,Americas,Americas,Northern America
"Bonaire, Sint Eustatius and Saba",Americas,Pays-Bas caribéens,"Bonaire, Sint Eustatius and Saba",BES,Americas,Americas,Caribbean
British Virgin Islands,Americas,Îles Vierges britanniques,British Virgin Islands,VGB,Americas,Americas,Caribbean
Cayman Islands,Americas,Îles Caïmans,Cayman Islands,CYM,Americas,Americas,Caribbean
Channel Islands,Europe,Îles anglo-normandes,Channel Islands,HIST_CHI,Europe,Europe,Northern Europe
"China, Hong Kong SAR",Western Pacific,Hong Kong,"China, Hong Kong SAR",HKG,Western Pacific,Asia,Eastern Asia
"China, Macao SAR",Western Pacific,Macao,"China, Macao SAR",MAC,Western Pacific,Asia,Eastern Asia
"China, Taiwan Province of",Western Pacific,Taiwan,"China, Taiwan Province of","['CHN', 'TWN']",Western Pacific,Asia,Eastern Asia
"China, mainland",Western Pacific,Chine,"China, mainland",CHN,Western Pacific,Asia,Eastern Asia
"China, mainland",Western Pacific,Chine,"China, mainland",CHN,Western Pacific,Asia,Eastern Asia
Falkland Islands (Malvinas),Americas,Îles Malouines,Falkland Islands (Malvinas),FLK,Americas,Americas,South America
Faroe Islands,Europe,Îles Féroé,Faroe Islands,FRO,Europe,Europe,Northern Europe
French Guyana,Americas,Guyane française,French Guyana,GUF,Americas,Americas,South America
French Polynesia,Western Pacific,Polynésie française,French Polynesia,PYF,Western Pacific,Oceania,Polynesia
Greenland,Americas,Groenland,Greenland,GRL,Americas,Americas,Northern America
Holy See,Europe,État de la Cité du Vatican,Holy See,VAT,Europe,Europe,Southern Europe
Isle of Man,Europe,Île de Man,Isle of Man,IMN,Europe,Europe,Northern Europe
Netherlands Antilles (former),Americas,Maldives,Maldives,MDV,South-East Asia,Asia,Southern Asia
New Caledonia,Western Pacific,Nouvelle-Calédonie,New Caledonia,NCL,Western Pacific,Oceania,Melanesia
Northern Mariana Islands,Western Pacific,Îles Mariannes du Nord,Northern Mariana Islands,MNP,Western Pacific,Oceania,Micronesia
Palestine,Eastern Mediterranean,Territoires palestiniens,Palestine,PSE,Eastern Mediterranean,Asia,Western Asia
Puerto Rico,Americas,Porto Rico,Puerto Rico,PRI,Americas,Americas,Caribbean
Réunion,Africa,La Réunion,Réunion,REU,Africa,Africa,Eastern Africa
Saint Barthélemy,Americas,Saint-Barthélemy,Saint Barthélemy,BLM,Americas,Americas,Caribbean
"Saint Helena, Ascension and Tristan da Cunha",Africa,Sainte-Hélène,"Saint Helena, Ascension and Tristan da Cunha",SHN,Africa,Africa,Western Africa
Saint Pierre and Miquelon,Americas,Saint-Pierre-et-Miquelon,Saint Pierre and Miquelon,SPM,Americas,Americas,Northern America
Saint-Martin (French part),Americas,Saint-Martin,Saint-Martin (French part),MAF,Americas,Americas,Caribbean
Serbia and Montenegro,Europe,Serbie-et-Monténégro,Serbia and Montenegro,HIST_SCG,Europe,Europe,Southern Europe
Sint Maarten (Dutch part),Americas,Saint-Martin (partie néerlandaise),Sint Maarten (Dutch part),SXM,Americas,Americas,Caribbean
Sint Maarten  (Dutch part),Americas,Saint-Martin (partie néerlandaise),Sint Maarten  (Dutch part),SXM,Americas,Americas,Caribbean
Sudan (former),Eastern Mediterranean,Soudan,Sudan (former),SDN,Eastern Mediterranean,Africa,Northern Africa
Turks and Caicos Islands,Americas,Îles Turques-et-Caïques,Turks and Caicos Islands,TCA,Americas,Americas,Caribbean
United States Virgin Islands,Americas,Îles Vierges des États-Unis,United States Virgin Islands,VIR,Americas,Americas,Caribbean
Wallis and Futuna Islands,Western Pacific,Wallis-et-Futuna,Wallis and Futuna Islands,WLF,Western Pacific,Oceania,Polynesia
Western Sahara,Africa,Sahara occidental,Western Sahara,ESH,Africa,Africa,Northern Africa
saudi arabia,Eastern Mediterranean,,,,,,
senegal,Africa,,,,,,
seychelles,Africa,Seychelles,Seychelles,SYC,Africa,Africa,Eastern Africa
solomon islands,Western Pacific,,,,,,
somalia,Eastern Mediterranean,,,,,,
south sudan,Africa,,,,,,
sudan,Eastern Mediterranean,,,,,,
suriname,Americas,Suriname,Suriname,SUR,Americas,Americas,South America
syrian arab republic,Eastern Mediterranean,,,,,,
thailand,South-East Asia,,,,,,
timor-leste,South-East Asia,,,,,,
togo,Africa,Togo,Togo,TGO,Africa,Africa,Western Africa
tonga,Western Pacific,Tonga,Tonga,TON,Western Pacific,Oceania,Polynesia
trinidad and tobago,Americas,,,,,,
turkey,Europe,,,,,,
united arab emirates,Eastern Mediterranean,,,,,,
venezuela (bolivarian republic of),Americas,,,,,,
viet nam,Western Pacific,,,,,,
yemen,Eastern Mediterranean,,,,,,
zimbabwe,Africa,Zimbabwe,Zimbabwe,ZWE,Africa,Africa,Eastern Africa
American Samoa,Western Pacific,,,,,,
Anguilla,Americas,Anguilla,Anguilla,AIA,Americas,Americas,Caribbean
Aruba,Americas,Aruba,Aruba,ABW,Americas,Americas,Caribbean
Bermuda,Americas,,,,,,
"Bonaire, Sint Eustatius and Saba",Americas,,,,,,
British Virgin Islands,Americas,,,,,,
Cayman Islands,Americas,,,,,,
Channel Islands,Europe,,,,,,
"China, Hong Kong SAR",Western Pacific,,,,,,
"China, Macao SAR",Western Pacific,,,,,,
"China, Taiwan Province of",Western Pacific,,,,,,
"China, mainland",Western Pacific,,,,,,
Curaçao,Americas,Curaçao,Curaçao,CUW,Americas,Americas,Caribbean
Falkland Islands (Malvinas),Americas,,,,,,
Faroe Islands,Europe,,,,,,
French Guyana,Americas,,,,,,
French Polynesia,Western Pacific,,,,,,
Gibraltar,Europe,Gibraltar,Gibraltar,GIB,Europe,Europe,Southern Europe
Greenland,Americas,,,,,,
Guadeloupe,Americas,Guadeloupe,Guadeloupe,GLP,Americas,Americas,Caribbean
Guam,Western Pacific,Guam,Guam,GUM,Western Pacific,Oceania,Micronesia
Holy See,Europe,,,,,,
Isle of Man,Europe,,,,,,
Liechtenstein,Europe,Liechtenstein,Liechtenstein,LIE,Europe,Europe,Western Europe
Martinique,Americas,Martinique,Martinique,MTQ,Americas,Americas,Caribbean
Mayotte,Africa,Mayotte,Mayotte,MYT,Africa,Africa,Eastern Africa
Montserrat,Americas,Montserrat,Montserrat,MSR,Americas,Americas,Caribbean
Netherlands Antilles (former),Americas,,,,,,
New Caledonia,Western Pacific,,,,,,
Northern Mariana Islands,Western Pacific,,,,,,
Palestine,Eastern Mediterranean,,,,,,
Puerto Rico,Americas,,,,,,
Réunion,Africa,,,,,,
Saint Barthélemy,Americas,,,,,,
"Saint Helena, Ascension and Tristan da Cunha",Africa,,,,,,
Saint Pierre and Miquelon,Americas,,,,,,
Saint-Martin (French part),Americas,,,,,,
Serbia and Montenegro,Europe,,,,,,
Sint Maarten (Dutch part),Americas,,,,,,
Sint Maarten  (Dutch part),Americas,,,,,,
Sudan (former),Eastern Mediterranean,,,,,,
Tokelau,Western Pacific,Tokelau,Tokelau,TKL,Western Pacific,Oceania,Polynesia
Turks and Caicos Islands,Americas,,,,,,
United States Virgin Islands,Americas,,,,,,
Wallis and Futuna Islands,Western Pacific,,,,,,
Western Sahara,Africa,,,,,,
